filename,width,height,class,xmin,ymin,xmax,ymax
DaunJarak (207).jpg,4032,3024,Daun Jarak,890,326,3602,2822
DaunJarak (208).jpg,4032,3024,Daun Jarak,1086,402,3614,2794
DaunJarak (209).jpg,3024,4032,Daun Jarak,62,155,2746,3023
DaunJarak (21).jpg,900,600,Daun Jarak,298,263,552,569
DaunJarak (21).jpg,900,600,Daun Jarak,500,300,765,594
DaunJarak (21).jpg,900,600,Daun Jarak,194,60,464,296
DaunJarak (21).jpg,900,600,Daun Jarak,69,148,291,450
DaunJarak (21).jpg,900,600,Daun Jarak,630,29,898,323
DaunJarak (210).jpg,3024,4032,Daun Jarak,272,987,2935,3908
DaunJarak (211).jpg,4032,3024,Daun Jarak,1210,442,3482,2610
DaunJarak (212).jpg,3024,4032,Daun Jarak,625,1213,2698,3202
DaunJarak (213).jpg,4032,3024,Daun Jarak,1614,562,3106,2094
DaunJarak (214).jpg,3024,4032,Daun Jarak,104,1939,1141,3102
DaunJarak (214).jpg,3024,4032,Daun Jarak,1604,576,2756,1755
DaunJarak (214).jpg,3024,4032,Daun Pepaya,425,576,1451,1671
DaunJarak (214).jpg,3024,4032,Daun Pepaya,1314,2002,2619,3239
DaunJarak (215).jpg,4032,3024,Daun Pepaya,766,1326,2046,2630
DaunJarak (215).jpg,4032,3024,Daun Pepaya,2362,434,3454,1446
DaunJarak (215).jpg,4032,3024,Daun Jarak,966,90,2102,1110
DaunJarak (215).jpg,4032,3024,Daun Jarak,2282,1602,3454,2762
DaunJarak (216).jpg,4032,3024,Daun Jarak,550,242,1770,1378
DaunJarak (216).jpg,4032,3024,Daun Jarak,1962,1878,3118,2906
DaunJarak (216).jpg,4032,3024,Daun Pepaya,650,1606,1710,2562
DaunJarak (216).jpg,4032,3024,Daun Pepaya,2006,370,3294,1662
DaunJarak (217).jpg,4032,3024,Daun Pepaya,750,1350,2014,2686
DaunJarak (217).jpg,4032,3024,Daun Pepaya,2318,478,3410,1414
DaunJarak (217).jpg,4032,3024,Daun Jarak,2270,1630,3450,2790
DaunJarak (217).jpg,4032,3024,Daun Jarak,922,118,2078,1182
DaunJarak (218).jpg,4032,3024,Daun Jarak,970,214,2086,1230
DaunJarak (218).jpg,4032,3024,Daun Jarak,2242,1682,3406,2826
DaunJarak (218).jpg,4032,3024,Daun Pepaya,2298,570,3350,1502
DaunJarak (218).jpg,4032,3024,Daun Pepaya,758,1438,2010,2706
DaunJarak (219).jpg,4032,3024,Daun Pepaya,2070,102,3426,1562
DaunJarak (219).jpg,4032,3024,Daun Pepaya,766,1706,1898,2734
DaunJarak (219).jpg,4032,3024,Daun Jarak,606,306,1886,1530
DaunJarak (219).jpg,4032,3024,Daun Jarak,2130,1590,3382,2742
DaunJarak (22).jpg,661,286,Daun Jarak,401,3,632,282
DaunJarak (220).jpg,4032,3024,Daun Jarak,650,270,1878,1426
DaunJarak (220).jpg,4032,3024,Daun Jarak,2150,1466,3454,2710
DaunJarak (220).jpg,4032,3024,Daun Pepaya,610,1418,1970,2894
DaunJarak (220).jpg,4032,3024,Daun Pepaya,2138,274,3282,1334
DaunJarak (221).jpg,4032,3024,Daun Pepaya,2082,234,3246,1282
DaunJarak (221).jpg,4032,3024,Daun Pepaya,478,1418,1934,2902
DaunJarak (221).jpg,4032,3024,Daun Jarak,526,138,1834,1390
DaunJarak (221).jpg,4032,3024,Daun Jarak,2122,1406,3426,2690
DaunJarak (222).jpg,4032,3024,Daun Jarak,706,246,1898,1378
DaunJarak (222).jpg,4032,3024,Daun Jarak,2150,1450,3322,2566
DaunJarak (222).jpg,4032,3024,Daun Pepaya,650,1402,1982,2790
DaunJarak (222).jpg,4032,3024,Daun Pepaya,2114,326,3174,1314
DaunJarak (223).jpg,3024,4032,Daun Jarak,151,776,1304,1897
DaunJarak (223).jpg,3024,4032,Daun Jarak,1562,1902,2725,3066
DaunJarak (223).jpg,3024,4032,Daun Pepaya,109,1913,1377,3229
DaunJarak (223).jpg,3024,4032,Daun Pepaya,1530,781,2567,1781
DaunJarak (224).jpg,4032,3024,Daun Pepaya,834,298,1898,1414
DaunJarak (224).jpg,4032,3024,Daun Pepaya,1970,1482,3394,2850
DaunJarak (224).jpg,4032,3024,Daun Jarak,1994,126,3194,1378
DaunJarak (224).jpg,4032,3024,Daun Jarak,846,1622,1978,2794
DaunJarak (225).jpg,3024,4031,Daun Jarak,1646,2022,2841,3238
DaunJarak (225).jpg,3024,4031,Daun Jarak,235,901,1377,2080
DaunJarak (225).jpg,3024,4031,Daun Pepaya,193,2059,1483,3428
DaunJarak (225).jpg,3024,4031,Daun Pepaya,1572,917,2625,1928
DaunJarak (226).jpg,4032,3024,Daun Pepaya,958,382,1918,1422
DaunJarak (226).jpg,4032,3024,Daun Pepaya,2062,1550,3394,2802
DaunJarak (226).jpg,4032,3024,Daun Jarak,950,1638,2050,2782
DaunJarak (226).jpg,4032,3024,Daun Jarak,2054,206,3194,1366
DaunJarak (227).jpg,4032,3024,Daun Jarak,2130,122,3282,1330
DaunJarak (227).jpg,4032,3024,Daun Jarak,966,1590,2090,2754
DaunJarak (227).jpg,4032,3024,Daun Pepaya,974,298,1998,1398
DaunJarak (227).jpg,4032,3024,Daun Pepaya,2102,1482,3478,2770
DaunJarak (228).jpg,4032,3024,Daun Pepaya,2194,254,3350,1322
DaunJarak (228).jpg,4032,3024,Daun Pepaya,714,1402,2050,2842
DaunJarak (228).jpg,4032,3024,Daun Jarak,730,178,2010,1390
DaunJarak (228).jpg,4032,3024,Daun Jarak,2198,1466,3478,2658
DaunJarak (229).jpg,4032,3024,Daun Pepaya,2222,274,3362,1334
DaunJarak (229).jpg,4032,3024,Daun Pepaya,750,1426,2086,2898
DaunJarak (229).jpg,4032,3024,Daun Jarak,782,222,2010,1442
DaunJarak (229).jpg,4032,3024,Daun Jarak,2270,1470,3498,2654
DaunJarak (23).jpg,585,390,Daun Jarak,353,160,585,388
DaunJarak (23).jpg,585,390,Daun Jarak,206,266,415,390
DaunJarak (23).jpg,585,390,Daun Jarak,3,195,222,382
DaunJarak (23).jpg,585,390,Daun Jarak,305,5,525,180
DaunJarak (23).jpg,585,390,Daun Jarak,68,1,293,90
DaunJarak (23).jpg,585,390,Daun Jarak,142,109,256,199
DaunJarak (230).jpg,3024,4032,Daun Jarak,272,2187,1546,3508
DaunJarak (230).jpg,3024,4032,Daun Jarak,1652,707,2946,1971
DaunJarak (230).jpg,3024,4032,Daun Pepaya,1683,2192,2814,3329
DaunJarak (230).jpg,3024,4032,Daun Pepaya,72,634,1619,1987
DaunJarak (231).jpg,4032,3024,Daun Pepaya,602,1414,2002,2954
DaunJarak (231).jpg,4032,3024,Daun Pepaya,2198,182,3370,1338
DaunJarak (231).jpg,4032,3024,Daun Jarak,690,62,2006,1358
DaunJarak (231).jpg,4032,3024,Daun Jarak,2190,1450,3494,2762
DaunJarak (232).jpg,4032,3024,Daun Jarak,2218,1482,3470,2706
DaunJarak (232).jpg,4032,3024,Daun Jarak,806,174,2038,1390
DaunJarak (232).jpg,4032,3024,Daun Pepaya,2222,282,3350,1366
DaunJarak (232).jpg,4032,3024,Daun Pepaya,734,1446,2054,2878
DaunJarak (233).jpg,293,443,Daun Jarak,33,9,276,247
DaunJarak (234).jpg,366,270,Daun Jarak,59,24,306,259
DaunJarak (235).jpg,1000,1000,Daun Jarak,498,370,865,729
DaunJarak (235).jpg,1000,1000,Daun Jarak,288,30,785,622
DaunJarak (235).jpg,1000,1000,Daun Jarak,37,152,431,765
DaunJarak (236).jpg,1200,803,Daun Jarak,198,449,339,564
DaunJarak (236).jpg,1200,803,Daun Jarak,263,330,430,445
DaunJarak (236).jpg,1200,803,Daun Jarak,795,348,907,443
DaunJarak (236).jpg,1200,803,Daun Jarak,909,398,1030,498
DaunJarak (236).jpg,1200,803,Daun Jarak,122,290,261,385
DaunJarak (237).jpg,1664,2496,Daun Jarak,40,295,740,995
DaunJarak (237).jpg,1664,2496,Daun Jarak,721,295,1334,833
DaunJarak (238).jpg,700,484,Daun Jarak,220,146,416,333
DaunJarak (238).jpg,700,484,Daun Jarak,494,202,692,361
DaunJarak (238).jpg,700,484,Daun Jarak,49,189,259,382
DaunJarak (239).jpg,700,1244,Daun Jarak,90,777,548,1242
DaunJarak (239).jpg,700,1244,Daun Jarak,440,653,700,1075
DaunJarak (239).jpg,700,1244,Daun Jarak,1,271,240,674
DaunJarak (239).jpg,700,1244,Daun Jarak,397,185,634,446
DaunJarak (239).jpg,700,1244,Daun Jarak,44,1,498,314
DaunJarak (239).jpg,700,1244,Daun Jarak,293,496,446,659
DaunJarak (24).jpg,1024,768,Daun Jarak,263,51,873,714
DaunJarak (240).jpg,700,525,Daun Jarak,135,228,473,525
DaunJarak (240).jpg,700,525,Daun Jarak,296,132,576,298
DaunJarak (240).jpg,700,525,Daun Jarak,15,63,284,227
DaunJarak (241).jpg,600,450,Daun Jarak,353,140,594,403
DaunJarak (241).jpg,600,450,Daun Jarak,144,295,379,450
DaunJarak (241).jpg,600,450,Daun Jarak,99,132,311,352
DaunJarak (241).jpg,600,450,Daun Jarak,276,30,481,203
DaunJarak (241).jpg,600,450,Daun Jarak,92,10,255,145
DaunJarak (242).jpg,4032,3024,Daun Jarak,1198,158,3358,2374
DaunJarak (243).jpg,4032,3024,Daun Jarak,1334,378,3410,2558
DaunJarak (244).jpg,4032,3024,Daun Jarak,1490,606,3250,2422
DaunJarak (245).jpg,4032,3024,Daun Jarak,1222,358,3374,2598
DaunJarak (246).jpg,4032,3024,Daun Jarak,1506,422,3310,2354
DaunJarak (247).jpg,4032,3024,Daun Jarak,1522,498,3366,2462
DaunJarak (248).jpg,4032,3024,Daun Jarak,1646,526,3502,2438
DaunJarak (249).jpg,4032,3024,Daun Jarak,1602,510,3470,2442
DaunJarak (25).jpg,640,426,Daun Jarak,410,95,547,215
DaunJarak (250).jpg,4032,3024,Daun Jarak,1242,534,3434,2518
DaunJarak (251).jpg,4032,3024,Daun Jarak,1690,454,3542,2474
DaunJarak (252).jpg,4032,3024,Daun Jarak,1510,258,3310,2374
DaunJarak (253).jpg,4032,3024,Daun Jarak,1250,162,3402,2434
DaunJarak (254).jpg,4032,3024,Daun Jarak,1214,238,3306,2458
DaunJarak (255).jpg,4032,3024,Daun Jarak,838,282,3514,2942
DaunJarak (256).jpg,4032,3024,Daun Jarak,1214,270,3774,2834
DaunJarak (257).jpg,4032,3024,Daun Jarak,1242,690,3022,2490
DaunJarak (258).jpg,4032,3024,Daun Jarak,786,262,3290,2642
DaunJarak (259).jpg,4032,3024,Daun Jarak,682,226,3218,2554
DaunJarak (26).jpg,600,400,Daun Jarak,52,128,380,395
DaunJarak (260).jpg,4032,3024,Daun Jarak,1282,22,3438,2458
DaunJarak (261).jpg,4032,3024,Daun Jarak,1278,170,3446,2622
DaunJarak (262).jpg,4032,3024,Daun Jarak,1406,522,3422,2514
DaunJarak (263).jpg,4032,3024,Daun Jarak,1354,446,3398,2470
DaunJarak (264).jpg,4032,3024,Daun Jarak,1574,718,3470,2534
DaunJarak (265).jpg,4032,3024,Daun Jarak,1514,718,3306,2462
DaunJarak (266).jpg,4032,3024,Daun Jarak,1426,358,3338,2502
DaunJarak (267).jpg,4032,3024,Daun Jarak,1470,374,3298,2450
DaunJarak (268).jpg,4032,3024,Daun Jarak,1498,462,3434,2378
DaunJarak (269).jpg,4032,3024,Daun Jarak,1218,390,3286,2234
DaunJarak (27).jpg,678,678,Daun Jarak,79,1,614,361
DaunJarak (27).jpg,678,678,Daun Jarak,155,233,650,619
DaunJarak (270).jpg,4032,3024,Daun Jarak,1282,614,3314,2498
DaunJarak (271).jpg,4032,3024,Daun Jarak,1142,490,3402,2610
DaunJarak (272).jpg,4032,3024,Daun Jarak,1374,502,3666,2554
DaunJarak (273).jpg,4032,3024,Daun Jarak,1654,598,3630,2454
DaunJarak (274).jpg,4032,3024,Daun Jarak,1542,754,3258,2430
DaunJarak (275).jpg,4032,3024,Daun Jarak,1602,526,3430,2474
DaunJarak (276).jpg,4032,3024,Daun Jarak,1054,414,3414,2714
DaunJarak (277).jpg,4032,3024,Daun Jarak,1066,338,3402,2638
DaunJarak (278).jpg,4032,3024,Daun Jarak,874,206,3662,2846
DaunJarak (279).jpg,4032,3024,Daun Jarak,826,146,3682,2810
DaunJarak (28).jpg,600,600,Daun Jarak,107,213,309,423
DaunJarak (28).jpg,600,600,Daun Jarak,348,216,600,477
DaunJarak (28).jpg,600,600,Daun Jarak,279,103,480,278
DaunJarak (28).jpg,600,600,Daun Jarak,142,363,373,526
DaunJarak (28).jpg,600,600,Daun Jarak,1,89,154,244
DaunJarak (28).jpg,600,600,Daun Jarak,96,70,255,223
DaunJarak (280).jpg,4032,3024,Daun Jarak,1030,318,3582,2814
DaunJarak (281).jpg,4032,3024,Daun Jarak,1034,514,3226,2566
DaunJarak (282).jpg,4032,3024,Daun Jarak,1054,446,3118,2562
DaunJarak (283).jpg,4032,3024,Daun Jarak,1374,438,3538,2710
DaunJarak (284).jpg,4032,3024,Daun Jarak,1358,346,3306,2566
DaunJarak (284).jpg,4032,3024,Daun Jarak,5,1,1134,1194
DaunJarak (284).jpg,4032,3024,Daun Jarak,1046,146,2106,1018
DaunJarak (285).jpg,4032,3024,Daun Jarak,1226,450,3522,2910
DaunJarak (285).jpg,4032,3024,Daun Jarak,394,1370,1502,2570
DaunJarak (285).jpg,4032,3024,Daun Jarak,550,698,1270,1506
DaunJarak (286).jpg,4032,3024,Daun Jarak,1078,382,3610,2794
DaunJarak (286).jpg,4032,3024,Daun Jarak,614,134,1646,1258
DaunJarak (287).jpg,4032,3024,Daun Jarak,698,542,1786,1794
DaunJarak (287).jpg,4032,3024,Daun Jarak,1646,1914,2362,2794
DaunJarak (287).jpg,4032,3024,Daun Jarak,2702,1626,3594,2506
DaunJarak (287).jpg,4032,3024,Daun Jarak,2786,970,3278,1506
DaunJarak (287).jpg,4032,3024,Daun Jarak,1616,1,3026,1070
DaunJarak (287).jpg,4032,3024,Daun Jarak,3322,914,3778,1498
DaunJarak (287).jpg,4032,3024,Daun Jarak,826,1534,1486,2250
DaunJarak (287).jpg,4032,3024,Daun Jarak,94,402,774,1394
DaunJarak (288).jpg,4032,3024,Daun Jarak,1458,1714,2290,2714
DaunJarak (288).jpg,4032,3024,Daun Jarak,2558,1090,3522,1990
DaunJarak (288).jpg,4032,3024,Daun Jarak,1138,342,2014,1054
DaunJarak (288).jpg,4032,3024,Daun Jarak,766,662,1438,1406
DaunJarak (288).jpg,4032,3024,Daun Jarak,2522,1882,3358,2762
DaunJarak (288).jpg,4032,3024,Daun Jarak,2134,1174,2726,1818
DaunJarak (288).jpg,4032,3024,Daun Jarak,442,342,898,890
DaunJarak (289).jpg,4032,3024,Daun Jarak,2842,1010,4032,2285
DaunJarak (289).jpg,4032,3024,Daun Jarak,2022,66,2838,966
DaunJarak (289).jpg,4032,3024,Daun Jarak,2166,994,3022,1974
DaunJarak (289).jpg,4032,3024,Daun Jarak,1294,242,2102,1146
DaunJarak (289).jpg,4032,3024,Daun Jarak,2662,2370,3483,3024
DaunJarak (289).jpg,4032,3024,Daun Jarak,1510,2322,2098,2970
DaunJarak (289).jpg,4032,3024,Daun Jarak,1454,1682,2194,2334
DaunJarak (289).jpg,4032,3024,Daun Jarak,1122,1930,1634,2658
DaunJarak (29).jpg,771,771,Daun Jarak,115,269,392,521
DaunJarak (29).jpg,771,771,Daun Jarak,169,488,357,666
DaunJarak (29).jpg,771,771,Daun Jarak,396,434,624,657
DaunJarak (29).jpg,771,771,Daun Jarak,413,54,655,332
DaunJarak (29).jpg,771,771,Daun Jarak,301,14,500,169
DaunJarak (290).jpg,4032,3024,Daun Jarak,818,530,3298,2814
DaunJarak (291).jpg,4032,3024,Daun Jarak,990,614,2046,1706
DaunJarak (291).jpg,4032,3024,Daun Jarak,10,1162,970,2230
DaunJarak (291).jpg,4032,3024,Daun Jarak,18,246,686,1346
DaunJarak (291).jpg,4032,3024,Daun Jarak,2170,1402,3022,2254
DaunJarak (291).jpg,4032,3024,Daun Jarak,1198,1586,2346,2578
DaunJarak (291).jpg,4032,3024,Daun Jarak,2634,954,3270,1562
DaunJarak (291).jpg,4032,3024,Daun Jarak,1482,46,2406,802
DaunJarak (292).jpg,4032,3024,Daun Jarak,574,162,3190,2746
DaunJarak (293).jpg,4032,3024,Daun Jarak,870,322,3390,2782
DaunJarak (294).jpg,4032,3024,Daun Jarak,1274,522,3654,2750
DaunJarak (295).jpg,4032,3024,Daun Jarak,1314,494,3558,2670
DaunJarak (296).jpg,4032,3024,Daun Jarak,922,270,3434,3010
DaunJarak (297).jpg,4032,3024,Daun Jarak,1138,318,3198,2542
DaunJarak (298).jpg,4032,3024,Daun Jarak,1426,386,3466,2286
DaunJarak (299).jpg,4032,3024,Daun Jarak,1250,498,3346,2334
